iter	Passed	Remaining
0	145	145110
1	146	72973
2	147	48997
3	148	37001
4	149	29842
5	151	25048
6	152	21650
7	153	19089
8	155	17096
9	156	15495
10	157	14186
11	158	13073
12	160	12173
13	161	11377
14	162	10675
15	163	10063
16	165	9552
17	166	9093
18	168	8677
19	169	8298
20	170	7951
21	171	7638
22	173	7353
23	174	7087
24	175	6855
25	176	6623
26	178	6420
27	179	6234
28	181	6071
29	182	5908
30	183	5748
31	185	5602
32	186	5466
33	187	5330
34	188	5201
35	190	5093
36	191	4980
37	192	4871
38	193	4773
39	195	4683
40	196	4607
41	198	4529
42	199	4450
43	201	4374
44	202	4299
45	204	4236
46	205	4168
47	207	4107
48	208	4044
49	209	3984
50	210	3918
51	212	3876
52	214	3832
53	216	3785
54	218	3746
55	219	3703
56	221	3661
57	222	3620
58	224	3586
59	226	3550
60	228	3513
61	229	3473
62	231	3444
63	233	3411
64	234	3378
65	236	3350
66	237	3313
67	239	3284
68	241	3260
69	243	3232
70	244	3201
71	246	3178
72	248	3151
73	249	3127
74	251	3103
75	253	3076
76	254	3054
77	256	3028
78	258	3012
79	259	2987
80	261	2961
81	262	2939
82	263	2914
83	265	2891
84	266	2870
85	268	2848
86	269	2832
87	271	2814
88	273	2797
89	274	2778
90	276	2763
91	278	2746
92	279	2729
93	281	2711
94	282	2694
95	284	2676
96	285	2660
97	287	2643
98	288	2627
99	290	2611
100	291	2595
101	292	2578
102	294	2565
103	295	2549
104	297	2534
105	298	2519
106	300	2508
107	302	2497
108	304	2486
109	305	2470
110	306	2457
111	308	2443
112	309	2428
113	310	2415
114	312	2403
115	313	2391
116	315	2381
117	317	2370
118	318	2359
119	320	2347
120	321	2334
121	322	2323
122	324	2312
123	325	2301
124	327	2289
125	328	2277
126	329	2266
127	330	2254
128	332	2247
129	334	2237
130	335	2228
131	337	2217
132	338	2208
133	340	2197
134	341	2188
135	342	2178
136	344	2168
137	345	2160
138	347	2152
139	348	2141
140	350	2134
141	351	2121
142	352	2113
143	354	2104
144	355	2095
145	356	2086
146	357	2075
147	359	2066
148	360	2061
149	362	2054
150	364	2047
151	365	2039
152	367	2032
153	368	2026
154	370	2017
155	371	2010
156	372	2000
157	374	1993
158	375	1986
159	377	1980
160	378	1972
161	380	1965
162	381	1960
163	383	1954
164	385	1948
165	386	1943
166	388	1936
167	389	1930
168	390	1921
169	392	1916
170	394	1911
171	396	1908
172	398	1903
173	399	1898
174	401	1891
175	402	1885
176	404	1880
177	406	1878
178	408	1873
179	410	1871
180	412	1867
181	414	1863
182	416	1858
183	417	1853
184	419	1847
185	420	1841
186	422	1836
187	424	1833
188	426	1828
189	427	1822
190	428	1817
191	430	1811
192	432	1806
193	433	1802
194	435	1799
195	437	1795
196	439	1791
197	440	1786
198	442	1781
199	444	1776
200	445	1769
201	446	1764
202	448	1759
203	449	1754
204	452	1754
205	454	1751
206	455	1745
207	457	1741
208	458	1736
209	460	1732
210	462	1727
211	463	1722
212	464	1717
213	466	1713
214	468	1710
215	470	1706
216	471	1702
217	473	1698
218	474	1692
219	476	1688
220	477	1683
221	479	1679
222	480	1675
223	483	1673
224	484	1669
225	486	1665
226	487	1660
227	489	1656
228	490	1652
229	492	1647
230	493	1643
231	495	1639
232	496	1634
233	498	1630
234	499	1626
235	501	1622
236	502	1618
237	504	1614
238	505	1610
239	507	1606
240	508	1600
241	509	1596
242	511	1594
243	513	1591
244	515	1587
245	516	1584
246	518	1580
247	520	1576
248	521	1573
249	523	1570
250	524	1566
251	526	1563
252	527	1558
253	529	1555
254	531	1551
255	532	1547
256	534	1544
257	535	1540
258	537	1536
259	538	1532
260	540	1529
261	542	1527
262	543	1523
263	545	1520
264	546	1516
265	548	1513
266	549	1509
267	551	1505
268	552	1502
269	554	1497
270	555	1493
271	556	1490
272	558	1487
273	560	1484
274	561	1480
275	562	1476
276	564	1474
277	566	1470
278	567	1466
279	569	1463
280	570	1459
281	572	1457
282	574	1456
283	575	1452
284	577	1448
285	579	1445
286	580	1443
287	582	1439
288	583	1436
289	585	1432
290	587	1430
291	588	1427
292	590	1424
293	591	1420
294	593	1417
295	594	1415
296	596	1412
297	597	1408
298	599	1404
299	600	1400
300	601	1397
301	603	1394
302	604	1391
303	606	1388
304	607	1384
305	609	1381
306	610	1377
307	611	1374
308	612	1370
309	614	1367
310	615	1363
311	616	1360
312	618	1357
313	619	1354
314	621	1351
315	622	1347
316	623	1344
317	625	1341
318	626	1338
319	627	1334
320	629	1330
321	630	1327
322	631	1323
323	633	1320
324	634	1318
325	636	1315
326	637	1312
327	638	1309
328	639	1305
329	641	1302
330	642	1298
331	643	1295
332	645	1292
333	646	1289
334	648	1286
335	649	1283
336	650	1280
337	652	1277
338	653	1273
339	654	1270
340	655	1267
341	656	1263
342	657	1260
343	659	1257
344	660	1254
345	662	1251
346	663	1248
347	665	1246
348	666	1243
349	668	1240
350	669	1237
351	670	1235
352	672	1232
353	673	1229
354	675	1226
355	676	1222
356	677	1220
357	679	1217
358	680	1215
359	682	1212
360	683	1209
361	684	1206
362	685	1203
363	687	1200
364	688	1197
365	689	1194
366	690	1191
367	692	1188
368	693	1186
369	695	1184
370	697	1182
371	699	1180
372	700	1177
373	701	1174
374	703	1172
375	704	1169
376	705	1166
377	707	1163
378	708	1161
379	710	1158
380	711	1156
381	712	1153
382	714	1150
383	715	1147
384	716	1144
385	718	1142
386	719	1139
387	720	1136
388	721	1133
389	723	1131
390	724	1129
391	726	1126
392	727	1123
393	728	1121
394	730	1118
395	731	1115
396	732	1113
397	734	1110
398	735	1107
399	736	1105
400	738	1102
401	740	1101
402	741	1098
403	742	1096
404	744	1093
405	745	1090
406	746	1088
407	748	1085
408	749	1083
409	751	1080
410	752	1078
411	754	1076
412	755	1074
413	757	1072
414	759	1070
415	761	1068
416	762	1066
417	764	1064
418	765	1061
419	767	1060
420	770	1060
421	772	1058
422	774	1056
423	776	1054
424	778	1053
425	781	1052
426	782	1050
427	784	1048
428	786	1047
429	788	1044
430	790	1043
431	791	1040
432	793	1038
433	795	1037
434	796	1035
435	799	1033
436	800	1031
437	802	1029
438	803	1027
439	805	1025
440	807	1023
441	808	1020
442	809	1017
443	810	1015
444	811	1012
445	812	1009
446	814	1007
447	816	1005
448	817	1003
449	819	1001
450	821	999
451	823	998
452	824	995
453	826	993
454	828	991
455	829	990
456	831	987
457	832	985
458	834	983
459	835	980
460	837	978
461	838	976
462	840	974
463	841	972
464	843	970
465	845	968
466	846	966
467	848	964
468	850	962
469	851	959
470	852	957
471	854	955
472	855	953
473	856	950
474	857	947
475	859	945
476	860	943
477	862	941
478	863	939
479	865	937
480	866	935
481	868	933
482	869	930
483	871	928
484	872	926
485	873	923
486	875	922
487	877	920
488	879	918
489	880	916
490	882	914
491	883	912
492	884	910
493	886	907
494	887	905
495	889	903
496	890	901
497	892	899
498	894	897
499	895	895
500	897	893
501	898	891
502	900	889
503	901	887
504	903	885
505	904	883
506	906	881
507	908	880
508	910	877
509	911	875
510	912	873
511	914	871
512	915	869
513	917	867
514	918	865
515	920	863
516	921	860
517	923	859
518	924	857
519	926	855
520	927	853
521	929	850
522	930	848
523	931	846
524	933	844
525	935	843
526	937	841
527	940	840
528	941	838
529	943	836
530	944	834
531	946	832
532	947	830
533	949	828
534	951	826
535	952	824
536	953	822
537	955	820
538	957	818
539	958	816
540	960	814
541	961	812
542	962	810
543	964	808
544	965	806
545	967	804
546	969	802
547	970	800
548	972	798
549	973	796
550	974	794
551	976	792
552	977	790
553	979	788
554	980	786
555	982	784
556	984	782
557	985	780
558	987	778
559	988	776
560	990	774
561	991	772
562	993	770
563	994	768
564	996	767
565	998	765
566	1000	763
567	1001	761
568	1003	759
569	1004	758
570	1006	756
571	1007	753
572	1008	751
573	1010	749
574	1012	748
575	1013	746
576	1015	744
577	1016	742
578	1018	740
579	1019	738
580	1020	736
581	1022	734
582	1023	732
583	1025	730
584	1027	728
585	1029	727
586	1030	725
587	1032	723
588	1034	721
589	1036	719
590	1037	718
591	1038	715
592	1040	713
593	1042	712
594	1043	710
595	1045	708
596	1046	706
597	1048	704
598	1050	703
599	1051	701
600	1053	699
601	1054	697
602	1056	695
603	1058	693
604	1059	692
605	1061	690
606	1062	688
607	1064	686
608	1065	684
609	1067	682
610	1068	680
611	1070	678
612	1071	676
613	1073	674
614	1075	673
615	1076	671
616	1078	669
617	1079	667
618	1081	665
619	1082	663
620	1084	661
621	1085	659
622	1087	657
623	1088	656
624	1090	654
625	1092	652
626	1093	650
627	1095	649
628	1097	647
629	1098	645
630	1100	643
631	1101	641
632	1103	639
633	1104	637
634	1106	636
635	1107	634
636	1108	631
637	1110	629
638	1111	627
639	1113	626
640	1114	624
641	1116	622
642	1118	620
643	1120	619
644	1122	617
645	1124	616
646	1125	614
647	1127	612
648	1128	610
649	1130	608
650	1131	606
651	1133	604
652	1134	602
653	1136	601
654	1137	599
655	1138	597
656	1140	595
657	1142	593
658	1143	591
659	1145	589
660	1146	588
661	1148	586
662	1150	584
663	1151	582
664	1153	580
665	1154	579
666	1156	577
667	1157	575
668	1158	573
669	1160	571
670	1161	569
671	1163	567
672	1164	566
673	1166	564
674	1168	562
675	1169	560
676	1171	558
677	1172	556
678	1173	554
679	1175	553
680	1176	551
681	1178	549
682	1180	547
683	1181	545
684	1183	544
685	1184	542
686	1186	540
687	1188	538
688	1190	537
689	1192	535
690	1194	534
691	1195	532
692	1197	530
693	1198	528
694	1199	526
695	1201	524
696	1203	522
697	1204	521
698	1206	519
699	1207	517
700	1209	515
701	1210	514
702	1212	512
703	1213	510
704	1215	508
705	1216	506
706	1218	504
707	1219	503
708	1221	501
709	1222	499
710	1224	497
711	1226	495
712	1227	494
713	1229	492
714	1230	490
715	1232	488
716	1233	486
717	1235	485
718	1236	483
719	1237	481
720	1239	479
721	1241	478
722	1242	476
723	1244	474
724	1245	472
725	1247	470
726	1248	468
727	1249	466
728	1250	465
729	1252	463
730	1253	461
731	1255	459
732	1257	457
733	1258	456
734	1259	454
735	1261	452
736	1262	450
737	1264	448
738	1265	446
739	1266	445
740	1268	443
741	1269	441
742	1271	439
